epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,use_lstm
11,0.6830685457499354,0.55,0.5384615384615384,1.0,0.78125,0.6940567806363106,0.2053550656970275,0.29375006221234795,0.4452435771624247,0.5233935272045028,0.31657262390778074,0.6859618961811066,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
12,0.677333039428849,0.5375,0.5256410256410257,1.0,0.775,0.6975970219820737,0.2004702092177443,0.31265335157513624,0.4416613602638244,0.5731121013133209,0.3540715726087617,0.6847075901925563,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
13,0.6783189026504036,0.5375,0.5256410256410257,1.0,0.775,0.6888023730367422,0.2013721756798444,0.28891074620187285,0.4379114302305075,0.4475257973733584,0.28220306746455104,0.6847067974507809,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
14,0.6781930649408386,0.55,0.5384615384615384,1.0,0.78125,0.6897313147783279,0.20593508821428852,0.2832925982773304,0.4405994415283203,0.6159122889305817,0.3937094047758112,0.6861147455871105,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
15,0.6742451956380788,0.55,0.5384615384615384,1.0,0.78125,0.6845057737082243,0.20693459449867763,0.28355197310447694,0.4417175026167007,0.5435037523452159,0.34155969802762,0.6862960956990719,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
16,0.6715218527067762,0.5375,0.5256410256410257,1.0,0.775,0.6862648963928223,0.2004746188997312,0.28858343102037903,0.44024689901958813,0.5632621951219512,0.3514662960433261,0.6843114003539086,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
17,0.6696095307614784,0.5375,0.5256410256410257,1.0,0.775,0.684529573470354,0.1982000506861356,0.3102324903011322,0.44223371893167496,0.5589821763602252,0.352395876590065,0.6834335163235664,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
18,0.665178036002627,0.55,0.5384615384615384,1.0,0.78125,0.6772914472967386,0.19852097709841593,0.2984754931181669,0.43998687217632926,0.3794559099437148,0.24023607796508548,0.6832177512347698,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
19,0.6697997377321484,0.55,0.5384615384615384,1.0,0.78125,0.6787054613232613,0.20196178503946927,0.2900684308260679,0.44001092408832754,0.5907012195121951,0.3883425544163213,0.6840665958821773,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
20,0.6627202555736972,0.55,0.5384615384615384,1.0,0.78125,0.6749642059206963,0.1976894022499743,0.2961508221924305,0.4428918957710266,0.4058395872420263,0.2636217527355356,0.6819055795669555,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
21,0.6917123417432443,0.55,0.5384615384615384,1.0,0.78125,0.6701285637915134,0.1928133475261887,0.3026210907846689,0.44121142796107704,0.31566604127579734,0.21528794758242834,0.6791072104126215,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
22,0.6642920869445034,0.55,0.5384615384615384,1.0,0.78125,0.6758125299587846,0.19156400152766112,0.3017218794673681,0.4409792172281366,0.5368198874296435,0.3460546211422558,0.6787435777485371,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
23,0.6561971852510928,0.5625,0.5512820512820513,1.0,0.7875,0.6729319656267763,0.19339950694659028,0.30332760699093336,0.4376697785714093,0.5017589118198875,0.32630268852976707,0.6783017158508301,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
24,0.6533575344021774,0.55,0.5384615384615384,1.0,0.78125,0.6699653333052993,0.18846735257824038,0.2968625780194997,0.44235158562660215,0.42395637898686683,0.27498527184768007,0.6758956760168076,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
