acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,variant,params
0.5258126195028681,0.5191146881287726,0.9980879541108987,0.7644996813256851,0.6851339017398954,0.20197503631411598,0.2118375863075028,0.4459722314972475,0.4473078047354575,0.2670296115060515,0.6810699626091106,523,497,emb32_g16_e64_mean,3473
0.5258126195028681,0.5171026156941649,0.9980879541108987,0.7644996813256851,0.6976000809646701,0.23142132795084908,0.07284102841043562,0.45007141973033093,0.40449459222449574,0.23116970950425944,0.6916847101361072,523,497,emb32_g64_e64_mean,15137
0.5277246653919694,0.5171026156941649,1.0,0.765774378585086,0.6919324375247409,0.20005479312584581,0.26104485019899004,0.44103653599896764,0.43495235311312486,0.2507036987850876,0.683016449497945,523,497,emb32_g16_e16_mean,1601
0.5200764818355641,0.5171026156941649,1.0,0.7619502868068834,0.7015793580512015,0.22428719846883602,0.12993364982007793,0.4477265640612571,0.5793206664717918,0.33006417035848085,0.6891609434871783,523,497,emb16_g128_e16_mean,23105
0.5200764818355641,0.5130784708249497,1.0,0.7619502868068834,0.693174296366781,0.23951930239851585,0.0368896832201722,0.4503136336803436,0.332769365682549,0.20627250276033546,0.6940212510739868,523,497,emb32_g128_e16_mean,25233
0.51434034416826,0.5130784708249497,1.0,0.7590822179732314,0.6966257579126048,0.22449939288530468,0.11267031655142908,0.4512458386329504,0.46207307804735454,0.2586601655074925,0.688823532647886,523,497,emb32_g128_e32_mean,29441
0.5200764818355641,0.5130784708249497,1.0,0.7619502868068834,0.6903814943525121,0.21975068205470583,0.16208262442402815,0.44361129178795766,0.5755568547208418,0.3256985147748739,0.6890983022535736,523,497,emb32_g64_e16_mean,8657
0.51434034416826,0.5130784708249497,0.9980879541108987,0.7587635436583811,0.6928777413204112,0.24012615405191673,0.04720022020786715,0.445517533355289,0.7127600116924875,0.42847944393684,0.6922486243808702,523,497,emb16_g16_e16_mean,1265
0.5200764818355641,0.5130784708249497,1.0,0.7619502868068834,0.6762254054072254,0.20007665670541103,0.1881992961947822,0.44188780668709016,0.37574744226834256,0.20249910476927374,0.6749332793925962,523,497,emb32_g32_e32_mean,4577
0.5105162523900574,0.5090543259557344,1.0,0.7571701720841301,0.6929861126934137,0.2160757171764722,0.16814086735818404,0.4460118390730958,0.6221350482315113,0.3716615954177558,0.6852281223519583,523,497,emb32_g128_e64_mean,37857
0.5162523900573613,0.5070422535211268,0.9980879541108987,0.7597195666029317,0.6906742050844898,0.21649623191588105,0.18127919571121603,0.44344471921824447,0.5438035662087108,0.31899266662828774,0.6877353058604392,523,497,emb16_g64_e32_mean,9713
0.5066921606118547,0.5070422535211268,0.9980879541108987,0.7549394518801784,0.6954656700331212,0.23731793459227438,0.031406992024262996,0.45497113962968194,0.6566992107570886,0.36938268877666297,0.6936508157285176,523,497,emb16_g32_e32_mean,3985
0.51434034416826,0.5050301810865191,1.0,0.7590822179732314,0.6867560112909423,0.2094203541779435,0.19506153947251706,0.4461908589961917,0.3412803273896522,0.18865526731078755,0.6854605273010625,523,497,emb32_g32_e16_mean,3441
0.502868068833652,0.5010060362173038,1.0,0.7533460803059273,0.6975068696320456,0.17848557338436563,0.30610317439125784,0.4385776155229126,0.4277193802981584,0.2607240542443422,0.6669645746368523,523,497,emb32_g16_e32_mean,2225
