variant,n_folds,acc_dec_mean,acc_dec_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,acc_bub_mean,acc_bub_std
emb16_g32_e64_mean,3,0.6182666666666666,0.03856436870134571,0.6217266666666666,0.0395674630641558,0.9960066666666667,0.006916656224891711,0.7650133333333333,0.030513815450273242,0.6004933333333333,0.0424266064319706
emb16_g32_e8_mean,3,0.5933200000000001,0.036861052616549074,0.5975,0.03616687987648369,0.9948933333333333,0.007928110325502145,0.7458933333333333,0.02902581839213726,0.5784466666666667,0.040927117334761474
emb16_g64_e128_mean,3,0.6164866666666667,0.03824209896610454,0.6204000000000001,0.037865847408977936,0.9948066666666666,0.00899511719397439,0.76374,0.03068295292177728,0.59758,0.040906024006251214
emb16_g64_e16_mean,3,0.60648,0.032863962025294506,0.6108666666666667,0.032059584110423776,0.9953133333333333,0.00811754478480618,0.7565066666666667,0.026436431932719922,0.59254,0.03673395704249674
emb16_g64_e256_mean,3,0.6144666666666667,0.030440830036865502,0.6184933333333333,0.030599871459425065,0.99546,0.007863510666362683,0.7626266666666667,0.024254107555903445,0.597,0.03181179026713207
emb16_g64_e32_mean,3,0.6164266666666667,0.023564399702375873,0.62018,0.024116193729525382,0.9949266666666666,0.008787271097066111,0.7637200000000001,0.019399804122722488,0.59996,0.028219340885286485
emb16_g64_e64_mean,3,0.6140066666666667,0.022612176660669645,0.61782,0.02170651515098634,0.9949066666666667,0.00882191211321746,0.7620266666666666,0.01820534353791034,0.5988866666666667,0.03244741181255191
emb16_g64_e8_mean,3,0.6163733333333333,0.024520271885387662,0.6205466666666667,0.025921615176013473,0.9950066666666667,0.00864870703246059,0.7639333333333334,0.019751783041875838,0.6035266666666667,0.028601065248226917
emb16_g8_e128_mean,3,0.62262,0.041028146436318615,0.6252866666666667,0.0415348737007028,0.9960466666666666,0.006847374192588951,0.7676333333333333,0.031880441234922265,0.60476,0.04305376638576467
emb16_g8_e16_mean,3,0.59538,0.04404796022519092,0.6001799999999999,0.0436477765756745,0.9961533333333333,0.005916902342724052,0.7481666666666666,0.03458749677749654,0.5773333333333334,0.05316181085453475
emb16_g8_e256_mean,3,0.6185466666666667,0.036588579274595134,0.6223133333333333,0.036152705753972704,0.99682,0.004652612169523676,0.76574,0.027660997812804983,0.5973666666666667,0.04202597450783659
emb16_g8_e32_mean,3,0.6150466666666666,0.043499408425096246,0.6201,0.04460604891715921,0.9961666666666666,0.00663952809568067,0.7635466666666667,0.03399117728666265,0.5984333333333334,0.0483718981779021
emb16_g8_e64_mean,3,0.6115733333333333,0.05018498713094713,0.6151666666666666,0.0493905429544294,0.99542,0.007117611959077304,0.75958,0.03888643979589806,0.5920066666666667,0.05635341811579251
emb16_g8_e8_mean,3,0.5757533333333333,0.0016571461412118033,0.5792533333333333,0.00417144259619302,0.9952733333333333,0.00521897818862402,0.7310066666666667,0.0026204070930550835,0.5589933333333333,0.007605296400097294
emb256_g128_e128_mean,3,0.59818,0.013167338379490363,0.6016066666666667,0.01324624223443512,0.99482,0.008972023183206784,0.74948,0.011486566066496973,0.58384,0.02313688829553357
emb256_g128_e16_mean,3,0.59204,0.017976662649112587,0.5957733333333334,0.016806669311119758,0.99582,0.007239972375637904,0.7449866666666667,0.01478628193067255,0.57826,0.01941245991624964
emb256_g128_e256_mean,3,0.5995466666666667,0.011888487428320453,0.6032133333333334,0.011938045624528867,0.9948533333333334,0.008914288156287828,0.7508866666666667,0.010417318912912912,0.5847933333333334,0.014510690312088301
emb256_g128_e32_mean,3,0.5979933333333334,0.022715583490928285,0.6017266666666666,0.023536561629374307,0.99544,0.007898151682514095,0.74974,0.01874463123136863,0.5805733333333334,0.027480293545254067
emb256_g128_e64_mean,3,0.5956333333333333,0.018176626016214684,0.5995133333333333,0.017138977021203268,0.99528,0.008175279811725071,0.7479933333333334,0.014782642975237337,0.5808666666666668,0.021741962499584367
emb256_g128_e8_mean,3,0.5929,0.002197817098850554,0.59728,0.0030901132665324634,0.9955733333333333,0.006638744861292158,0.7463133333333334,0.00122267466373248,0.5785733333333334,0.015604798407327534
emb256_g16_e128_mean,3,0.6118666666666667,0.03225600925925797,0.6155133333333334,0.0326267640646959,0.99548,0.007828869650211335,0.7602666666666666,0.025545953365128802,0.5918266666666666,0.03399453093268582
emb256_g16_e16_mean,3,0.59636,0.02193715569530379,0.6002333333333334,0.02385464594860576,0.9950733333333334,0.0077167955352810775,0.7482266666666667,0.017790810361906884,0.5798133333333333,0.02417275601443351
emb256_g16_e256_mean,3,0.6140466666666666,0.03768546846376371,0.61794,0.03839592165842618,0.9965266666666667,0.006015989804955892,0.76224,0.029599709458033512,0.59466,0.040455091150558536
emb256_g16_e32_mean,3,0.5929533333333333,0.02502709997849002,0.59724,0.025094286202241377,0.99498,0.007911535881230664,0.74602,0.020506964670569863,0.5790799999999999,0.03104430382533966
emb256_g16_e64_mean,3,0.5995533333333334,0.012519653882329698,0.6041666666666666,0.012884911071999476,0.9960333333333333,0.006870468203356559,0.7518466666666667,0.010304199791023726,0.5824666666666667,0.01884584127422634
emb256_g16_e8_mean,3,0.5966,0.039160245147343016,0.60122,0.03683868075813794,0.99558,0.006045262608026274,0.7488066666666666,0.030420140258278452,0.5837466666666666,0.04312454676090331
emb256_g256_e128_mean,3,0.5979866666666667,0.02313387415314029,0.60092,0.023990056273381237,0.9937,0.010911920087683944,0.7484666666666666,0.01985060536440469,0.5840066666666667,0.02581337896001477
emb256_g256_e16_mean,3,0.5861333333333334,0.032447584399047866,0.5903,0.03093883643578088,0.9963533333333333,0.0063162119449344765,0.7409266666666666,0.025887868458668743,0.57404,0.03180469776621053
emb256_g256_e256_mean,3,0.60266,0.034089652388958114,0.6065,0.033300162161767316,0.9954733333333333,0.006992290993181964,0.7530133333333333,0.026822120224421726,0.5897066666666667,0.03921594743638529
emb256_g256_e32_mean,3,0.58826,0.028769490784509875,0.5913,0.027727791112888898,0.99422,0.00919240991253108,0.7409533333333334,0.02426128878137624,0.5746333333333333,0.03120232256312555
emb256_g256_e64_mean,3,0.6011066666666667,0.031919237668423965,0.6058933333333334,0.03228944925720063,0.9968066666666666,0.004691708999216971,0.7530133333333333,0.02497020090694773,0.5867600000000001,0.0356304420404799
emb256_g256_e8_mean,3,0.56406,0.04502651663186927,0.5669933333333333,0.04518886736059373,0.99322,0.011743304475317002,0.7207533333333334,0.04041630529048068,0.54878,0.04364571914861755
emb256_g32_e128_mean,3,0.62066,0.02562808615562236,0.62546,0.02765475004407018,0.9972866666666667,0.004699631191203575,0.7684,0.02064599719073892,0.60066,0.02571601057707049
emb256_g32_e16_mean,3,0.5954533333333333,0.022605108567165338,0.5984999999999999,0.022320546588289455,0.9940666666666667,0.008544994636237853,0.7467666666666667,0.01897474461839562,0.5766666666666667,0.026745147846540935
emb256_g32_e256_mean,3,0.6071733333333333,0.03434331570092402,0.6118,0.03359887498116563,0.9966266666666667,0.005842784724199023,0.75752,0.02676771936493661,0.5854666666666667,0.04075531539975287
