variant,coverage,runs,params,acc_dec,precision_dec,recall_dec,f1_dec,acc_bub,decisions,bubbles
emb16_g8_e16_mean,20,5,889,0.5965556831228473,0.6007943713055729,0.9972088140948336,0.7489313208057232,0.5810844892812106,4355,3965
emb16_g8_e32_mean,20,5,1257,0.6119402985074627,0.6163439109027055,0.9973956584277139,0.7609583940568857,0.5969735182849937,4355,3965
emb16_g8_e64_mean,20,5,1993,0.6158438576349025,0.6190906542313854,0.9967791101445579,0.7630321483711604,0.5994955863808323,4355,3965
emb16_g8_e128_mean,20,5,3465,0.6222732491389208,0.6247775264931985,0.9973168999227737,0.7676045553194436,0.6060529634300126,4355,3965
emb16_g8_e256_mean,20,5,6409,0.6197474167623421,0.622906173917807,0.9977217124843957,0.7664461158413433,0.6012610340479193,4355,3965
emb16_g16_e8_mean,20,5,1177,0.608955223880597,0.6135895091452053,0.9977750637756531,0.7590728745498074,0.594703656998739,4355,3965
emb16_g16_e16_mean,20,5,1489,0.609414466130884,0.613124008886578,0.997254652416937,0.7587871684290634,0.5924337957124842,4355,3965
emb16_g16_e32_mean,20,5,2113,0.6227324913892078,0.6260788749371318,0.9965161857357195,0.7686746904055012,0.6032786885245902,4355,3965
emb16_g16_e64_mean,20,5,3361,0.6275545350172216,0.6313971403116891,0.9980808937377634,0.7729289419490717,0.6088272383354351,4355,3965
emb16_g16_e128_mean,20,5,5857,0.6151549942594718,0.6174208925994854,0.9957826814640669,0.7619116415024005,0.6,4355,3965
emb16_g16_e256_mean,20,5,10849,0.618828932261768,0.6219651897676308,0.9976757216648298,0.7655689446522441,0.6032786885245902,4355,3965
emb16_g32_e8_mean,20,5,2505,0.5949483352468428,0.5987136745639888,0.9963969343168664,0.7472702819385798,0.5810844892812106,4355,3965
emb16_g32_e16_mean,20,5,3073,0.5954075774971297,0.597439434810017,0.9945057553630162,0.7460444204764963,0.5818411097099622,4355,3965
emb16_g32_e32_mean,20,5,4209,0.6112514351320322,0.6148476587982331,0.9968201681539886,0.7601272983293839,0.594703656998739,4355,3965
emb16_g32_e64_mean,20,5,6481,0.618828932261768,0.6217923378155575,0.9972872977129593,0.7654019410147402,0.6025220680958386,4355,3965
emb16_g32_e128_mean,20,5,11025,0.6202066590126292,0.6233333071371447,0.9976930472728709,0.7668744814983608,0.6047919293820934,4355,3965
emb16_g32_e256_mean,20,5,20113,0.6280137772675086,0.6312652972070166,0.9984511632998537,0.7730451956481923,0.6093316519546028,4355,3965
emb16_g64_e8_mean,20,5,6697,0.6144661308840413,0.6181383034389804,0.9966123395954865,0.7626049377002538,0.6017654476670871,4355,3965
emb16_g64_e16_mean,20,5,7777,0.609414466130884,0.6133837889206695,0.9968191487687992,0.7589471604746495,0.5967213114754099,4355,3965
emb16_g64_e32_mean,20,5,9937,0.6167623421354764,0.6202273391159678,0.9965524684355809,0.7642401642362175,0.6015132408575031,4355,3965
emb16_g64_e64_mean,20,5,14257,0.6158438576349025,0.6192468168533548,0.9965411172836838,0.7636106397241255,0.6030264817150063,4355,3965
emb16_g64_e128_mean,20,5,22897,0.6202066590126292,0.6237347645599989,0.9964731171104556,0.7668065766760205,0.6032786885245902,4355,3965
emb16_g64_e256_mean,20,5,40177,0.6156142365097589,0.6191412984905379,0.9969154000369167,0.763529446371883,0.5994955863808323,4355,3965
