variant,n_runs_total,acc_dec_mean,acc_dec_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,acc_bub_mean,acc_bub_std
emb128_g64_e32_mean,15,0.6156,0.022736251732797613,0.61958,0.02435435426014353,0.9950933333333333,0.007479349347815411,0.7633733333333333,0.01818101312070476,0.5989,0.02634480160161718
emb128_g64_e64_mean,15,0.60502,0.018704017902960998,0.6082933333333334,0.01942375080251226,0.9943666666666666,0.00824696192257374,0.7546466666666667,0.015349260878746239,0.58342,0.024097664380006358
emb128_g64_e8_mean,15,0.5955533333333334,0.04662875977436282,0.6005666666666667,0.047001575454851466,0.9968866666666667,0.004802509264758919,0.74848,0.03657562029549191,0.5779866666666666,0.04826816263138182
emb128_g8_e128_mean,15,0.6221466666666666,0.03524088264393798,0.62732,0.03523411901633334,0.9968866666666667,0.005993790437571527,0.7695333333333333,0.026548464218876244,0.6039533333333333,0.036223016886793837
emb128_g8_e16_mean,15,0.5779133333333334,0.042656968391822606,0.5810066666666667,0.04292658960642104,0.9935866666666666,0.00876526152055998,0.7324533333333333,0.034284000155563314,0.5631533333333333,0.04390315424181902
emb128_g8_e256_mean,15,0.6150666666666667,0.04341508405853342,0.61928,0.0429927768019566,0.9953066666666667,0.006981042356335654,0.7627533333333333,0.03372747643489899,0.5982133333333334,0.04959838515036361
emb128_g8_e32_mean,15,0.61518,0.036069856825728754,0.6191666666666666,0.03503626012875123,0.9952066666666667,0.0067694130012101094,0.76286,0.026705023604451008,0.5956333333333333,0.03934910902361552
emb128_g8_e64_mean,15,0.61266,0.035639139800425663,0.6173866666666666,0.03610727798947913,0.99658,0.007086526451150604,0.7618933333333333,0.02763686633741932,0.5926133333333333,0.038439448982721364
emb128_g8_e8_mean,15,0.5935,0.02753870004194098,0.5987333333333333,0.026960358906753308,0.9964533333333333,0.00517837076786936,0.7476733333333333,0.021081049942226957,0.5784733333333333,0.029291550870190395
emb16_g128_e128_mean,15,0.6114333333333333,0.031228299131823792,0.6147533333333334,0.031015799353294276,0.9948666666666667,0.00777446981808926,0.7595466666666667,0.024526425010782237,0.5933733333333333,0.032439580468193174
emb16_g128_e16_mean,15,0.60778,0.0368073789185965,0.6113999999999999,0.037653533319312434,0.9947866666666667,0.007946595557368017,0.7567466666666667,0.03001872907433116,0.5937466666666666,0.03710506062263642
emb16_g128_e256_mean,15,0.6134533333333333,0.03218555280749128,0.61702,0.03161026505967415,0.9960066666666667,0.006365360125225398,0.7615733333333333,0.024978146639088525,0.59434,0.033707265007498224
emb16_g128_e32_mean,15,0.6071466666666666,0.03730555046153448,0.6109333333333333,0.03779029857869168,0.9944266666666667,0.007906368740873816,0.7563266666666667,0.030209541223798504,0.5873133333333334,0.04152434512542296
emb16_g128_e64_mean,15,0.6112266666666667,0.033602412044942465,0.6157,0.0340759655559667,0.9960333333333333,0.006312874222759471,0.7604866666666666,0.026373576242321086,0.5931733333333333,0.03501025292002056
emb16_g128_e8_mean,15,0.5879266666666667,0.04064730647668457,0.5909933333333334,0.04079734701925511,0.9938,0.009077601948910146,0.7405866666666666,0.033593704058661834,0.5777866666666667,0.04253562988276778
emb16_g16_e128_mean,15,0.6152133333333333,0.027684933155229453,0.61764,0.028733077006922087,0.99378,0.009947734846256646,0.7614933333333334,0.023080773280765438,0.5986866666666667,0.028674275845051337
emb16_g16_e16_mean,15,0.6093,0.03633174526892031,0.6135133333333334,0.03672960788298856,0.99596,0.006544550623010163,0.7587333333333334,0.029006641275667173,0.59124,0.036852733955569685
emb16_g16_e256_mean,15,0.6172733333333333,0.042757363052907,0.6208,0.04259647872770705,0.9965733333333333,0.005367556861987262,0.7642533333333333,0.033872193962150195,0.59998,0.05104750168785372
emb16_g16_e32_mean,15,0.6212799999999999,0.029979378626935265,0.6250266666666666,0.03113565862632808,0.99486,0.008537547322604686,0.7673666666666666,0.02493590832132497,0.5999533333333333,0.034162194364670474
emb16_g16_e64_mean,15,0.6251666666666666,0.03946163899765129,0.6295333333333334,0.038535432056868435,0.9971733333333334,0.005269245902494242,0.77122,0.029666195287854868,0.6044733333333333,0.04074158049158599
emb16_g16_e8_mean,15,0.6120066666666667,0.04165999222732709,0.6175533333333333,0.043065512663294524,0.9969066666666667,0.004978879200707521,0.7618133333333333,0.03300430419260638,0.5973933333333333,0.044485751597990265
emb16_g256_e128_mean,15,0.59676,0.03970891947301368,0.6010066666666667,0.038963251306595975,0.9958,0.006691038783328042,0.74898,0.03104089928741477,0.5817266666666667,0.03883108965519154
emb16_g256_e16_mean,15,0.60158,0.030687880343875158,0.6056733333333333,0.03106319518720017,0.9947866666666667,0.007940570928256147,0.7525266666666667,0.02510046859740917,0.5847333333333333,0.032346443095839464
emb16_g256_e256_mean,15,0.6207533333333334,0.030191315370641333,0.6236266666666667,0.030558058714207505,0.99468,0.009511361627022716,0.7662066666666667,0.02418823405432209,0.6061866666666667,0.034492936474975075
emb16_g256_e32_mean,15,0.59762,0.04030730525776756,0.60272,0.039349300229755406,0.9969733333333334,0.00561114537157543,0.7506266666666667,0.031029904163257613,0.58166,0.04181344281448251
