epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant
11,0.6283828755893276,0.7375,0.7368421052631579,1.0,0.86875,0.5776198104023933,0.1628011670549363,0.29989883005619045,0.43689642349878943,0.5941183404054691,0.38786445462747515,0.6618837974965572,80,76,10,3,salmonella,emb16_g64_e64_mean
12,0.617630576430741,0.75,0.75,1.0,0.875,0.5750139504671097,0.16146864599071464,0.2976276353001594,0.44196014744894846,0.6152758132956152,0.3986493570585543,0.6592902489006519,80,76,10,3,salmonella,emb16_g64_e64_mean
13,0.6100674857527523,0.75,0.75,1.0,0.875,0.5600060660392046,0.15416141631588248,0.2989257495850325,0.44077326357364655,0.6080268741159831,0.39845595721090976,0.6514847941696644,80,76,10,3,salmonella,emb16_g64_e64_mean
14,0.6010717204903478,0.7375,0.7368421052631579,1.0,0.86875,0.550516850501299,0.14838433267714704,0.29029767140746116,0.4376467665036519,0.5248703441772749,0.3407014400730295,0.6455056183040142,80,76,10,3,salmonella,emb16_g64_e64_mean
15,0.5898286677518133,0.7375,0.7368421052631579,1.0,0.86875,0.5422790449112653,0.14944410002369574,0.2916856355965137,0.43723444640636444,0.5292314945780292,0.3380586041542593,0.6456534445285798,80,76,10,3,salmonella,emb16_g64_e64_mean
16,0.5827583853302702,0.75,0.75,1.0,0.875,0.5316828522831202,0.13741651983794637,0.25882560573518276,0.4421164631843567,0.5628241395568129,0.3708827566225049,0.6262592203915119,80,76,10,3,salmonella,emb16_g64_e64_mean
17,0.5713966706883435,0.75,0.75,1.0,0.875,0.5231602763757109,0.14145398585332553,0.26371959261596206,0.43315454655223423,0.5039486091466289,0.33019349883304494,0.6282168071717024,80,76,10,3,salmonella,emb16_g64_e64_mean
18,0.5682334662073076,0.7375,0.7368421052631579,1.0,0.86875,0.5132696781307459,0.134449923897431,0.26281766295433046,0.44634873006078934,0.4663484205563414,0.30007190753089086,0.6153525169938803,80,76,10,3,salmonella,emb16_g64_e64_mean
19,0.5565867300255823,0.7375,0.7368421052631579,1.0,0.86875,0.508737553562969,0.13110128190541648,0.24376414008438585,0.4490753412246704,0.51514615747289,0.3498947486290117,0.6057494398206472,80,76,10,3,salmonella,emb16_g64_e64_mean
20,0.5513326981983616,0.7375,0.7368421052631579,1.0,0.86875,0.49979226756840944,0.12946270464984505,0.2518549215048551,0.44417896441050936,0.4939297501178689,0.325461052834871,0.6007432255893945,80,76,10,3,salmonella,emb16_g64_e64_mean
21,0.5428400522066374,0.7375,0.7368421052631579,1.0,0.86875,0.4970885107293725,0.12742387367098607,0.23397431857883927,0.4426032453775406,0.4575671852899575,0.30398498436541976,0.5919846598058939,80,76,10,3,salmonella,emb16_g64_e64_mean
22,0.5371736135691573,0.725,0.7236842105263158,1.0,0.8625,0.4906566238030791,0.12815908609125135,0.245231331884861,0.44959283371766406,0.44418906176331924,0.27225116031888447,0.5874604802578688,80,76,10,3,salmonella,emb16_g64_e64_mean
23,0.5369749395018917,0.7375,0.7368421052631579,1.0,0.86875,0.4796124702319503,0.12640113322611266,0.2398863960057497,0.4479409456253052,0.45851013672795854,0.29528149444193924,0.5787823144346476,80,76,10,3,salmonella,emb16_g64_e64_mean
24,0.5300626959336006,0.7375,0.7368421052631579,1.0,0.86875,0.48176445346325636,0.12487584617261457,0.2234971744939685,0.44779385924339293,0.4773691654879773,0.3181037982825428,0.5729402339085936,80,76,10,3,salmonella,emb16_g64_e64_mean
25,0.5255817295299412,0.7375,0.7368421052631579,1.0,0.86875,0.4765209598466754,0.11821578865489948,0.2115781858563423,0.4473852813243866,0.45998349834983493,0.3006234085851964,0.5594121159985661,80,76,10,3,salmonella,emb16_g64_e64_mean
