epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant
11,0.6753506963278589,0.525,0.5128205128205128,1.0,0.76875,0.6926832888275385,0.20273525698184094,0.291892072558403,0.4392556387644547,0.48041744840525336,0.3047021536794927,0.6854699499905109,80,78,20,1,ecoli,emb16_g64_e64_mean
12,0.6878884802235355,0.5625,0.5512820512820513,1.0,0.7875,0.684985813125968,0.20936533309796887,0.2509890880435705,0.4430384842249063,0.2759732645403377,0.19088363271331155,0.6872514747083187,80,78,20,1,ecoli,emb16_g64_e64_mean
13,0.6780027496271415,0.55,0.5384615384615384,1.0,0.78125,0.6867809496819973,0.2029295261990737,0.29135931096971035,0.4430607673194673,0.3829737335834897,0.21817775580889603,0.685136666893959,80,78,20,1,ecoli,emb16_g64_e64_mean
14,0.6738116062838015,0.5375,0.5256410256410257,1.0,0.775,0.6965079315006732,0.19273745496005706,0.30373680368065836,0.4367983027508384,0.550891181988743,0.3504703084055252,0.6809762336313725,80,78,20,1,ecoli,emb16_g64_e64_mean
15,0.6787742942811337,0.575,0.5641025641025641,1.0,0.79375,0.6840382881462574,0.20616740704247488,0.2836522936820984,0.44038224921506997,0.32352251407129456,0.2019837088542169,0.6858160920441151,80,78,20,1,ecoli,emb16_g64_e64_mean
16,0.6876822229045326,0.5375,0.5256410256410257,1.0,0.775,0.6870057437568903,0.19313557131012865,0.2909930627793074,0.4407754921250873,0.325046904315197,0.20123497623939024,0.6799091286957264,80,78,20,1,ecoli,emb16_g64_e64_mean
17,0.6630504621896923,0.5375,0.5256410256410257,1.0,0.775,0.6883117906749249,0.1925625298637927,0.2912425696849823,0.43895565051781504,0.4743785178236397,0.292673931516423,0.6796249002218246,80,78,20,1,ecoli,emb16_g64_e64_mean
18,0.6632293004932097,0.55,0.5384615384615384,1.0,0.78125,0.678729148954153,0.20004543010837006,0.26392390914261343,0.43988292084799874,0.44688086303939956,0.28247300841326345,0.6827153749763966,80,78,20,1,ecoli,emb16_g64_e64_mean
19,0.661888586292318,0.55,0.5384615384615384,1.0,0.78125,0.6764245465397835,0.19476995662809832,0.2681857135146857,0.4395911237772774,0.28981003752345214,0.1935317068193234,0.6792333289980889,80,78,20,1,ecoli,emb16_g64_e64_mean
20,0.6705594425546579,0.525,0.5128205128205128,1.0,0.76875,0.6761493142694235,0.19739294545097402,0.2461063675582409,0.4411221461163627,0.41991088180112573,0.26560666517518233,0.6794358886778354,80,78,20,1,ecoli,emb16_g64_e64_mean
21,0.6558011503385794,0.55,0.5384615384615384,1.0,0.78125,0.6730186134576798,0.19304436994098434,0.29014147035777565,0.4455252829052153,0.43392354596622884,0.2836334737563523,0.6783614784479142,80,78,20,1,ecoli,emb16_g64_e64_mean
22,0.6529131514137616,0.55,0.5384615384615384,1.0,0.78125,0.666941125690937,0.19432412645452218,0.2783565502613783,0.44462345277561865,0.36268761726078796,0.24317084951856566,0.676849203556776,80,78,20,1,ecoli,emb16_g64_e64_mean
23,0.6523003653291084,0.5625,0.5512820512820513,1.0,0.7875,0.6631250349804759,0.19161536008412744,0.28647359907627107,0.44173462192217505,0.27151735459662285,0.19137539279475882,0.6741787139326334,80,78,20,1,ecoli,emb16_g64_e64_mean
24,0.6466346229688731,0.5625,0.5512820512820513,1.0,0.7875,0.6699234778061509,0.18639160204818506,0.3033498559147119,0.44182730466127396,0.42489446529080677,0.28786574304693646,0.6691545885056257,80,78,20,1,ecoli,emb16_g64_e64_mean
25,0.6428037900227963,0.55,0.5512820512820513,1.0,0.78125,0.6532336512580514,0.19275315624769127,0.2866666346788406,0.445765044954088,0.2671787054409006,0.19081955391111122,0.673384067043662,80,78,20,1,ecoli,emb16_g64_e64_mean
